group,model,system,final_accuracy,repair_success_on_failed,repeated_error_rate,prefix_damage_rate,parse_error_rate,generated_token_count
Qwen/Qwen2.5-7B-Instruct|self_correction,Qwen/Qwen2.5-7B-Instruct,self_correction,0.9,0.3333333333333333,0.6666666666666666,0.0,0.2222222222222222,44
Qwen/Qwen2.5-7B-Instruct|self_correction|code,Qwen/Qwen2.5-7B-Instruct,self_correction,1.0,1.0,0.0,0.0,0.0,68
Qwen/Qwen2.5-7B-Instruct|self_correction|math,Qwen/Qwen2.5-7B-Instruct,self_correction,0.7,0.14285714285714285,0.8571428571428571,0.0,0.2857142857142857,37.142857142857146
Qwen/Qwen2.5-7B-Instruct|self_correction|rag,Qwen/Qwen2.5-7B-Instruct,self_correction,1.0,0.0,0.0,0.0,0.0,0
Qwen/Qwen2.5-7B-Instruct|full_regeneration,Qwen/Qwen2.5-7B-Instruct,full_regeneration,0.9,0.3333333333333333,0.4444444444444444,0.0,0.4444444444444444,103.11111111111111
Qwen/Qwen2.5-7B-Instruct|full_regeneration|code,Qwen/Qwen2.5-7B-Instruct,full_regeneration,1.0,1.0,0.0,0.0,0.0,112
Qwen/Qwen2.5-7B-Instruct|full_regeneration|math,Qwen/Qwen2.5-7B-Instruct,full_regeneration,0.7,0.14285714285714285,0.5714285714285714,0.0,0.5714285714285714,100.57142857142857
Qwen/Qwen2.5-7B-Instruct|full_regeneration|rag,Qwen/Qwen2.5-7B-Instruct,full_regeneration,1.0,0.0,0.0,0.0,0.0,0
Qwen/Qwen2.5-7B-Instruct|edit_only_repair,Qwen/Qwen2.5-7B-Instruct,edit_only_repair,0.9,0.3333333333333333,0.6666666666666666,0.0,0.2222222222222222,55.888888888888886
Qwen/Qwen2.5-7B-Instruct|edit_only_repair|code,Qwen/Qwen2.5-7B-Instruct,edit_only_repair,1.0,1.0,0.0,0.0,0.0,70
Qwen/Qwen2.5-7B-Instruct|edit_only_repair|math,Qwen/Qwen2.5-7B-Instruct,edit_only_repair,0.7,0.14285714285714285,0.8571428571428571,0.0,0.2857142857142857,51.857142857142854
Qwen/Qwen2.5-7B-Instruct|edit_only_repair|rag,Qwen/Qwen2.5-7B-Instruct,edit_only_repair,1.0,0.0,0.0,0.0,0.0,0
Qwen/Qwen2.5-7B-Instruct|tracepatch,Qwen/Qwen2.5-7B-Instruct,tracepatch,0.9166666666666666,0.4444444444444444,0.3333333333333333,0.0,0.0,59.22222222222222
Qwen/Qwen2.5-7B-Instruct|tracepatch|code,Qwen/Qwen2.5-7B-Instruct,tracepatch,1.0,1.0,0.0,0.0,0.0,99.5
Qwen/Qwen2.5-7B-Instruct|tracepatch|math,Qwen/Qwen2.5-7B-Instruct,tracepatch,0.75,0.2857142857142857,0.42857142857142855,0.0,0.0,47.714285714285715
Qwen/Qwen2.5-7B-Instruct|tracepatch|rag,Qwen/Qwen2.5-7B-Instruct,tracepatch,1.0,0.0,0.0,0.0,0.0,0
Qwen/Qwen2.5-7B-Instruct|oracle_tracepatch_subset,Qwen/Qwen2.5-7B-Instruct,oracle_tracepatch_subset,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,45
Qwen/Qwen2.5-7B-Instruct|oracle_tracepatch_subset|code,Qwen/Qwen2.5-7B-Instruct,oracle_tracepatch_subset,0.0,0.0,0.0,0.0,0.0,0
Qwen/Qwen2.5-7B-Instruct|oracle_tracepatch_subset|math,Qwen/Qwen2.5-7B-Instruct,oracle_tracepatch_subset,0.05,0.3333333333333333,0.3333333333333333,0.0,0.0,45
Qwen/Qwen2.5-7B-Instruct|oracle_tracepatch_subset|rag,Qwen/Qwen2.5-7B-Instruct,oracle_tracepatch_subset,0.0,0.0,0.0,0.0,0.0,0
mistralai/Mistral-7B-Instruct-v0.3|self_correction,mistralai/Mistral-7B-Instruct-v0.3,self_correction,0.7333333333333333,0.1111111111111111,0.7222222222222222,0.0,0.1111111111111111,88.27777777777777
mistralai/Mistral-7B-Instruct-v0.3|self_correction|code,mistralai/Mistral-7B-Instruct-v0.3,self_correction,0.7,0.25,0.5,0.0,0.25,128.625
mistralai/Mistral-7B-Instruct-v0.3|self_correction|math,mistralai/Mistral-7B-Instruct-v0.3,self_correction,0.5,0.0,0.9,0.0,0.0,56
mistralai/Mistral-7B-Instruct-v0.3|self_correction|rag,mistralai/Mistral-7B-Instruct-v0.3,self_correction,1.0,0.0,0.0,0.0,0.0,0
mistralai/Mistral-7B-Instruct-v0.3|full_regeneration,mistralai/Mistral-7B-Instruct-v0.3,full_regeneration,0.8,0.3333333333333333,0.5,0.0,0.05555555555555555,103.16666666666667
mistralai/Mistral-7B-Instruct-v0.3|full_regeneration|code,mistralai/Mistral-7B-Instruct-v0.3,full_regeneration,0.75,0.375,0.25,0.0,0.125,115.125
mistralai/Mistral-7B-Instruct-v0.3|full_regeneration|math,mistralai/Mistral-7B-Instruct-v0.3,full_regeneration,0.65,0.3,0.7,0.0,0.0,93.6
mistralai/Mistral-7B-Instruct-v0.3|full_regeneration|rag,mistralai/Mistral-7B-Instruct-v0.3,full_regeneration,1.0,0.0,0.0,0.0,0.0,0
mistralai/Mistral-7B-Instruct-v0.3|edit_only_repair,mistralai/Mistral-7B-Instruct-v0.3,edit_only_repair,0.7333333333333333,0.1111111111111111,0.7777777777777778,0.05555555555555555,0.05555555555555555,80.66666666666667
mistralai/Mistral-7B-Instruct-v0.3|edit_only_repair|code,mistralai/Mistral-7B-Instruct-v0.3,edit_only_repair,0.7,0.25,0.625,0.125,0.125,106.625
mistralai/Mistral-7B-Instruct-v0.3|edit_only_repair|math,mistralai/Mistral-7B-Instruct-v0.3,edit_only_repair,0.5,0.0,0.9,0.0,0.0,59.9
mistralai/Mistral-7B-Instruct-v0.3|edit_only_repair|rag,mistralai/Mistral-7B-Instruct-v0.3,edit_only_repair,1.0,0.0,0.0,0.0,0.0,0
mistralai/Mistral-7B-Instruct-v0.3|tracepatch,mistralai/Mistral-7B-Instruct-v0.3,tracepatch,0.7333333333333333,0.1111111111111111,0.5555555555555556,0.16666666666666666,0.2222222222222222,86.88888888888889
mistralai/Mistral-7B-Instruct-v0.3|tracepatch|code,mistralai/Mistral-7B-Instruct-v0.3,tracepatch,0.65,0.125,0.375,0.0,0.375,116.25
mistralai/Mistral-7B-Instruct-v0.3|tracepatch|math,mistralai/Mistral-7B-Instruct-v0.3,tracepatch,0.55,0.1,0.7,0.3,0.1,63.4
mistralai/Mistral-7B-Instruct-v0.3|tracepatch|rag,mistralai/Mistral-7B-Instruct-v0.3,tracepatch,1.0,0.0,0.0,0.0,0.0,0
mistralai/Mistral-7B-Instruct-v0.3|oracle_tracepatch_subset,mistralai/Mistral-7B-Instruct-v0.3,oracle_tracepatch_subset,0.25,0.25,0.75,0.25,0.0,55
mistralai/Mistral-7B-Instruct-v0.3|oracle_tracepatch_subset|code,mistralai/Mistral-7B-Instruct-v0.3,oracle_tracepatch_subset,0.0,0.0,0.0,0.0,0.0,0
mistralai/Mistral-7B-Instruct-v0.3|oracle_tracepatch_subset|math,mistralai/Mistral-7B-Instruct-v0.3,oracle_tracepatch_subset,0.05,0.25,0.75,0.25,0.0,55
mistralai/Mistral-7B-Instruct-v0.3|oracle_tracepatch_subset|rag,mistralai/Mistral-7B-Instruct-v0.3,oracle_tracepatch_subset,0.0,0.0,0.0,0.0,0.0,0
